"","zip","Case.Type","Case.Number","Status","Source","Incident.Date","Incident.Time","Incident.Location.Type","Incident.Location","Incident.City","Incident.State","Incident.County","Child.ID.1","Child.ID.2","Child.ID.3","Child.ID.4","Child.ID.5","Child.ID.6","Child.Race.1","Child.Race.2","Child.Race.3","Child.Race.4","Child.Race.5","Child.Race.6","Child.Gender.1","Child.Gender.2","Child.Gender.3","Child.Gender.4","Child.Gender.5","Child.Gender.6","Child.Perceived.Age.1","Child.Perceived.Age.2","Child.Perceived.Age.3","Child.Perceived.Age.4","Child.Perceived.Age.5","Child.Perceived.Age.6","Offender.Gender.1","Offender.Gender.2","Offender.Gender.3","Offender.Race.1","Offender.Race.2","Offender.Race.3","Offender.Age.1","Offender.Age.2","Offender.Age.3","Offender.Perceived.Age.1","Offender.Perceived.Age.2","Offender.Perceived.Age.3","Vehicle.Style.1","Vehicle.Style.2","Vehicle.Color.1","Vehicle.Color.2","How.Got.Away","How.Got.Away.Detail","Offender.Method.Animal","Offender.Method.Candy","Offender.Method.Money","Offender.Method.Ride","Offender.Method.Other","Offender.Method.Other.Detail","city","state","latitude","longitude"
"488",22401,"Attempted Abduction",1285949,"Closed","Internet",NA,"11:00 PM","Med - Hospital","1001 Sam Perry Blvd","Fredericksburg","VA","Fredericksburg City",586524,NA,NA,NA,NA,NA,"Unknown","","","","","","Female","","","","","","Unknown","","","","","","Male","","","Hispanic","","","41",NA,NA,"","","","","","","","Ran Away","",0,0,0,0,1,"None","Fredericksburg","VA",38.301829,-77.47077
"489",22401,"Attempted Abduction",1254652,"Closed","Internet",2015-10-09,"12:00 AM","School - Bus Stop","214 Kings Mill Ct","Fredericksburg","VA","Fredericksburg City",543456,NA,NA,NA,NA,NA,"Unknown","","","","","","Female","","","","","","Unknown","","","","","","Male","","","Black","","","28",NA,NA,"","","","","","","","Unknown","",0,0,0,0,1,"Conversation","Fredericksburg","VA",38.301829,-77.47077
"490",22406,"Attempted Abduction",1230999,"Closed","Internet",2014-10-04,"9:15 PM","Street","Hopkins Branch Way","Fredericksburg","VA","Stafford",507144,NA,NA,NA,NA,NA,"Unknown","","","","","","Female","","","","","","17","","","","","","Male","","","Hispanic","","","",NA,NA,"30-40","","","Van","","White","","Fought/Broke Free","",0,0,0,0,1,"None","Fredericksburg","VA",38.387261,-77.54676
"491",22407,"Attempted Abduction",1219922,"Closed","Internet",2013-09-07,"12:00 AM","Recreational - Other","10910 Leavells Rd","Fredericksburg","VA","Spotsylvania",491635,491637,NA,NA,NA,NA,"Unknown","Unknown","","","","","Unknown","Unknown","","","","","Unknown","Unknown","","","","","Male","","","Unknown","","","28",NA,NA,"","","","","","","","Adult/Child Intervened","",0,0,0,0,1,"None","Fredericksburg","VA",38.271028,-77.5559
"492",22485,"Attempted Abduction",1191890,"Closed","Internet",NA,"4:00 PM","Street","VA Rte 218 - Caledon Rd","King George","VA","King George",460356,NA,NA,NA,NA,NA,"Unknown","","","","","","Female","","","","","","13","","","","","","Male","","","White","","","",NA,NA,"20-30","","","Sedan, 4 door","","Green, Dark","","Ignored/Refused","Ran Away",0,0,0,0,1,"Conversation","King George","VA",38.277837,-77.1642
"493",22553,"Attempted Abduction",1234276,"Closed","Internet",NA,"12:00 AM","Recreational - Other","6734 Morris Rd","Spotsylvania","VA","Spotsylvania",512000,NA,NA,NA,NA,NA,"Unknown","","","","","","Male","","","","","","7","","","","","","Male","","","Black","","","49",NA,NA,"","","","Pickup Truck","","","","Unknown","",0,0,0,0,1,"None","Spotsylvania","VA",38.207275,-77.64378
"494",22554,"Attempted Abduction",1187814,"Closed","Internet",NA,"8:00 AM","Home - Residence","Nugent Dr","Stafford","VA","Stafford",455855,NA,NA,NA,NA,NA,"Unknown","","","","","","Female","","","","","","10","","","","","","Male","","","White","","","",NA,NA,"Unknown","","","Van","","White","","Ran Away","",0,0,0,0,1,"None","Stafford","VA",38.460395,-77.43266
"495",22556,"Attempted Abduction",1234917,"Closed","Internet",2014-08-07,"1:00 PM","Street","Vista Woods Rd","Stafford","VA","Stafford",512927,NA,NA,NA,NA,NA,"Unknown","","","","","","Male","","","","","","9","","","","","","Male","Female","","White","Black","","",NA,NA,"30","30","","Pickup Truck","","Black","","Ran Away","",0,0,0,0,1,"None","Stafford","VA",38.42,-77.4
"496",22601,"Attempted Abduction",1234572,"Closed","Internet",NA,"2:00 PM","Parking Lot/Garage","600 Green St","Winchester","VA","Frederick",512428,NA,NA,NA,NA,NA,"Unknown","","","","","","Female","","","","","","9","","","","","","Male","","","Biracial","","","25",NA,NA,"","","","","","","","Adult/Child Intervened","",0,0,0,0,1,"None","Winchester","VA",39.179076,-78.16653
"497",22630,"Attempted Abduction",1266963,"Closed","Internet",NA,"2:45 PM","Street","378 E Main St","Front Royal","VA","Warren",560801,NA,NA,NA,NA,NA,"Unknown","","","","","","Unknown","","","","","","Unknown","","","","","","Male","","","White","","","58",NA,NA,"","","","","","","","Adult/Child Intervened","",0,0,0,0,1,"None","Front Royal","VA",38.926615,-78.17499
"498",22630,"Attempted Abduction",1266964,"Closed","Internet",NA,"3:10 PM","Street","378 E Main St","Front Royal","VA","Warren",560800,NA,NA,NA,NA,NA,"Unknown","","","","","","Unknown","","","","","","Unknown","","","","","","Male","","","White","","","58",NA,NA,"","","","","","","","Adult/Child Intervened","",0,0,0,0,1,"None","Front Royal","VA",38.926615,-78.17499
"499",22655,"Attempted Abduction",1226732,"Closed","Internet",NA,"8:15 AM","School - Bus Stop","Unknown address","Stephens City","VA","Frederick",500862,500863,NA,NA,NA,NA,"Unknown","Unknown","","","","","Male","Male","","","","","6","2","","","","","Female","","","White","","","33",NA,NA,"","","","","","","","Adult/Child Intervened","",0,0,0,0,1,"None","Stephens City","VA",39.07814,-78.20713
"500",22901,"Attempted Abduction",1206637,"Closed","Internet",NA,"2:00 PM","Retail - Mall/ Shop Ctr","1561 Rio Rd E","Charlottesville","VA","Albemarle",476490,NA,NA,NA,NA,NA,"Unknown","","","","","","Female","","","","","","2","","","","","","Male","","","Black","","","46",NA,NA,"","","","","","","","Adult/Child Intervened","",0,0,0,0,1,"Unknown","Charlottesville","VA",38.072402,-78.50149
