"case_number","case_type","missing_date","age_missing","gender","race","missing_city","missing_state","missing_zip","vehicle_style","vehicle_color"
1212908,"Non Family Abduction","03/25/2013",0,"Female","Hispanic","San Jose","CA","95122",NA,"White"
1217921,"Non Family Abduction","06/17/2013",0,"Male","Black","Birmingham","AL","35211",NA,"Silver"
1221151,"Non Family Abduction","08/13/2013",0,"Male","White","Cartersville","GA",NA,"Sedan, 4 door","Gray"
1230726,"Non Family Abduction","04/09/2014",0,"Female","Hispanic","Sarasota","FL",NA,"Pickup Truck","Silver"
1232043,"Non Family Abduction","05/09/2014",0,"Female","White","Stephenville","TX","76401",NA,NA
1237049,"Non Family Abduction","08/27/2014",0,"Male","Black","Indianapolis","IN",NA,"Sedan, 4 door","Blue"
1237049,"Non Family Abduction","08/27/2014",0,"Male","Black","Indianapolis","IN",NA,"Sedan, 4 door","Blue"
1238449,"Non Family Abduction","09/29/2014",0,"Male","White","Duncan","OK","73533",NA,NA
1241624,"Non Family Abduction","12/15/2014",0,"Male","Black","Palatka","FL","32177",NA,NA
1241624,"Non Family Abduction","12/15/2014",0,"Male","Black","Palatka","FL","32177",NA,NA
1241748,"Non Family Abduction","12/18/2014",0,"Male","White","Florence","KY","41042","Sedan, 4 door","Blue"
1242299,"Non Family Abduction","01/03/2015",0,"Female","Hispanic","Long Beach","CA","90805",NA,NA
1242299,"Non Family Abduction","01/03/2015",0,"Female","Hispanic","Long Beach","CA","90805",NA,NA
1262987,"Non Family Abduction","02/20/2016",0,"Male","White","Fairbury","NE","68352","Station Wagon","Brown"
1263419,"Non Family Abduction","02/26/2016",0,"Female","Black","Fort Lauderdale","FL","33312",NA,"Dark"
1266081,"Non Family Abduction","04/11/2016",0,"Female","Am. Ind.","Albuquerque","NM","87121","Sport Utility","Maroon"
1270365,"Non Family Abduction","06/14/2016",0,"Female","Black","Detroit","MI","48205",NA,NA
1273611,"Non Family Abduction","07/31/2016",0,"Female","Black","Loveland","OH","45140",NA,NA
1281896,"Non Family Abduction","11/17/2016",0,"Female","Hispanic","Wichita","KS","67212",NA,NA
1284626,"Non Family Abduction","12/19/2016",0,"Female","White","Normandy","MO","63121","Van","Gray"
1063373,"Lost Injured Missing","02/03/2007",1,"Female","Black","Braddock","PA",NA,NA,NA
1071160,"Lost Injured Missing","05/14/2007",1,"Male","White","Amherst","VA",NA,NA,NA
1072212,"Lost Injured Missing","05/30/2007",1,"Female","Black","Baltimore","MD","21225",NA,NA
1075524,"Lost Injured Missing","07/18/2007",1,"Female","White","Denver","CO","80211","Van","Gray"
1080104,"Lost Injured Missing","09/25/2007",1,"Male","White","Encino","NM","88321",NA,NA
1080104,"Lost Injured Missing","09/25/2007",1,"Male","White","Encino","NM","88321",NA,NA
1082819,"Lost Injured Missing","09/27/2007",1,"Male","Black","Lauderhill","FL","33313",NA,NA
